timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/9/2020,23.9,24.61,23.59,24,24,48823300,0,1
10/8/2020,22.72,24.28,22.6,24.07,24.07,62881300,0,1
10/7/2020,22.93,23,22.57,22.7,22.7,22683300,0,1
10/6/2020,23.09,23.38,22.71,22.87,22.87,21003200,0,1
10/5/2020,22.72,23.01,22.34,22.83,22.83,22691700,0,1
10/2/2020,22.36,23.32,22.34,22.59,22.59,35132300,0,1
10/1/2020,22.55,22.6,22.18,22.52,22.52,20276600,0.015,1
9/30/2020,22.58,22.69,22.37,22.5,22.5,22150100,0,1
9/29/2020,22.9,22.91,22.3,22.4,22.4,26962000,0,1
9/28/2020,23.25,23.9,22.58,22.9,22.9,58112602,0,1
9/25/2020,22.81,22.98,22.62,22.91,22.8947,21670300,0,1
9/24/2020,22.5,23.34,22.42,23.03,23.0146,39745500,0,1
9/23/2020,22.92,23.13,22.47,22.48,22.465,24442900,0,1
9/22/2020,22.85,23.31,22.76,23.1,23.0846,27089100,0,1
9/21/2020,22.75,23.02,22.45,22.9,22.8847,36482700,0,1
9/18/2020,23.5,23.62,23.03,23.1,23.0846,38507500,0,1
9/17/2020,23.5,23.83,23.39,23.69,23.6742,24970700,0,1
9/16/2020,23.76,24.22,23.64,23.66,23.6442,25412900,0,1
9/15/2020,24.17,24.23,23.6,23.73,23.7142,29066600,0,1
9/14/2020,23.79,24.22,23.32,24.05,24.034,43209700,0,1
9/11/2020,23.95,24.07,23.43,23.63,23.6142,23112100,0,1
9/10/2020,24.4,24.66,23.9,23.91,23.8941,35831200,0,1
9/9/2020,24.6,24.81,24.16,24.43,24.4137,29583700,0,1
9/8/2020,24.56,24.77,24.27,24.4,24.3837,29115500,0,1
9/4/2020,25.16,25.29,24.55,24.96,24.9434,41549800,0,1
9/3/2020,24.2,25.5,24.16,24.88,24.8634,80853900,0,1
9/2/2020,24.35,24.45,23.9,24.29,24.2738,24963700,0,1
9/1/2020,23.87,24.34,23.73,24.34,24.3238,55979600,0.015,1
8/31/2020,24.17,24.29,23.55,23.55,23.5193,44634400,0,1
8/28/2020,24.3,24.56,24.15,24.43,24.3981,55961400,0,1
8/27/2020,23.89,24.5,23.8,24.18,24.1485,35074500,0,1
8/26/2020,24.3,24.36,23.51,23.79,23.759,30400900,0,1
8/25/2020,24.64,24.7,24.12,24.3,24.2683,31869200,0,1
8/24/2020,24.25,24.83,24.23,24.48,24.4481,33103400,0,1
8/21/2020,23.91,24.24,23.81,24.08,24.0487,23626100,0,1
8/20/2020,23.7,24.24,23.54,24.12,24.0885,33040100,0,1
8/19/2020,24.32,24.42,24.02,24.12,24.0885,27209900,0,1
8/18/2020,24.62,24.64,24.05,24.24,24.2085,41747000,0.0529,1
8/17/2020,24.72,24.75,23.85,24.14,24.0558,37535000,0,1
8/14/2020,24.57,25.21,24.37,24.73,24.6437,30443100,0,1
8/13/2020,25.46,25.55,24.5,24.5,24.4144,40582500,0,1
8/12/2020,25.69,25.86,24.91,25.22,25.1319,49221100,0,1
8/11/2020,26.12,26.29,25.51,25.51,25.4209,26069600,0,1
8/10/2020,25.52,26.08,25.41,25.81,25.7198,29985400,0,1
8/7/2020,25.63,26.45,25.4,25.48,25.3911,66039700,0,1
8/6/2020,25.7,26.3,25.41,26.03,25.9392,29582300,0,1
8/5/2020,26.15,26.3,25.36,25.67,25.5803,49733200,0,1
8/4/2020,26.25,26.69,25.41,25.69,25.6003,79075900,0,1
8/3/2020,27.1,27.71,26.5,27.28,27.1848,33005500,0.015,1
7/31/2020,27.94,27.98,26.79,26.89,26.7811,30769300,0,1
7/30/2020,27.87,28.23,27.42,27.81,27.6974,28851800,0,1
7/29/2020,28.15,28.49,27.88,28.29,28.1754,27032700,0,1
7/28/2020,27.72,28.26,27.52,27.64,27.5281,23571900,0,1
7/27/2020,26.63,27.92,26.54,27.8,27.6874,49310400,0,1
7/24/2020,26.35,26.88,26.11,26.47,26.3628,30028800,0,1
7/23/2020,27.1,27.14,26.46,26.5,26.3928,29170400,0,1
7/22/2020,27.85,27.85,26.77,27.07,26.9604,45354900,0,1
7/21/2020,27.6,28.04,27.36,27.7,27.5878,36857400,0,1
7/20/2020,27.25,27.53,26.96,27.3,27.1896,28539500,0,1
7/17/2020,27.11,27.4,27,27.22,27.1098,32296200,0,1
7/16/2020,27.17,27.32,26.92,26.98,26.8708,19342500,0,1
7/15/2020,27.54,27.8,27.07,27.44,27.329,31842400,0,1
7/14/2020,26.75,27.42,26.44,27.25,27.1397,28301700,0,1
7/13/2020,27.45,27.55,26.8,26.8,26.6916,24517600,0,1
7/10/2020,26.95,27.31,26.62,27.2,27.0898,23928100,0,1
7/9/2020,27.02,27.17,26.58,26.95,26.841,43328300,0,1
7/8/2020,26.65,27.07,26.5,26.94,26.831,33937100,0,1
7/7/2020,27.43,27.71,26.32,26.37,26.2633,64327400,0,1
7/6/2020,27.12,27.85,26.85,27.73,27.6178,29327900,0,1
7/3/2020,26.39,26.69,26.2,26.5,26.3928,9896200,0,1
7/2/2020,26.5,27.25,26.41,26.55,26.4426,41420200,0,1
7/1/2020,25.6,26.21,25.54,26.1,25.9943,39057700,0.015,1
6/30/2020,26.22,26.31,25.45,25.45,25.332,45357700,0,1
6/29/2020,25.9,26.52,25.75,26.48,26.3572,30541600,0,1
6/26/2020,25.71,26.22,25.54,25.71,25.5908,39444900,0,1
6/25/2020,26.03,26.33,25.51,26.15,26.0288,46116300,0,1
6/24/2020,26.79,26.92,25.6,25.84,25.7202,57131500,0,1
6/23/2020,27.7,27.75,26.56,26.86,26.7355,59437000,0,1
6/22/2020,28.04,28.24,26.91,27.22,27.0938,29105100,0,1
6/19/2020,28.1,28.24,27.58,28.09,27.9597,61613400,0,1
6/18/2020,26.5,27.91,26.32,27.55,27.4223,53833300,0,1
6/17/2020,26.18,26.94,26.15,26.51,26.3872,35708500,0,1
6/16/2020,26.5,26.57,25.7,26.18,26.0587,37844700,0,1
6/15/2020,25.1,25.99,25.03,25.45,25.332,37210100,0,1
6/12/2020,25.91,26.37,25.62,26.06,25.9393,54060300,0,1
6/10/2020,28.11,28.17,26.48,26.59,26.4667,49044700,0,1
6/9/2020,27.57,28.24,27.26,27.8,27.6711,51511900,0,1
6/8/2020,27.61,28.48,27.51,28.36,28.2286,31606600,0,1
6/5/2020,28.16,28.7,27.18,27.26,27.1336,64390000,0,1
6/4/2020,25.77,26.83,25.48,26.67,26.5464,44112600,0,1
6/3/2020,26.3,26.77,25.8,25.92,25.7998,58334300,0,1
6/2/2020,24,25.3,23.83,25.25,25.1329,57459500,0,1
