timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
01/04/2010,3889,4049,3889,4012,4012,21746581300,0,1
01/05/2010,4022,4038,3990,4038,4038,16086219300,0,1
01/06/2010,4025,4049,3970,4003,4003,19438860600,0,1
01/07/2010,3975,4005,3955,3962,3962,18476019700,0,1
01/08/2010,3978,3978,3892,3902,3902,17909073700,0,1
01/11/2010,3919,3945,3815,3868,3868,23930329400,0,1
01/12/2010,3831,3873,3804,3832,3832,16751905900,0,1
01/13/2010,3840,3898,3800,3844,3844,17951915000,0,1
01/14/2010,3850,3880,3770,3791,3791,17917661300,0,1
01/15/2010,3780,3829,3702,3727,3727,28108786900,0,1
01/18/2010,3740,3798,3735,3760,3760,8275927900,0,1
01/19/2010,3730,3803,3721,3750,3750,18391051100,0,1
01/20/2010,3718,3727,3574,3651,3651,22411891300,0,1
01/21/2010,3662,3679,3543,3584,3584,35917846200,0,1
01/22/2010,3545,3650,3538,3625,3625,20762508200,0,1
01/26/2010,3541,3649,3505,3634,3634,19713439500,0,1
01/27/2010,3624,3624,3539,3582,3582,18317319400,0,1
01/28/2010,3622,3689,3564,3689,3689,21115509900,0,1
01/29/2010,3712,3727,3590,3613,3613,21283441300,0,1
02/01/2010,3629,3707,3610,3681,3681,16608656900,0,1
02/02/2010,3729,3767,3682,3730,3730,17101812500,0,1
02/03/2010,3735,3758,3671,3714,3714,13195845500,0,1
02/04/2010,3670,3690,3529,3571,3571,19378355700,0,1
02/05/2010,3533,3607,3381,3480,3480,31505818500,0,1
02/08/2010,3489,3521,3442,3470,3470,18697005500,0,1
02/09/2010,3570,3645,3554,3625,3625,32428252100,0,1
02/10/2010,3637,3668,3601,3645,3645,17605295800,0,1
02/11/2010,3645,3730,3589,3709,3709,16456856600,0,1
02/12/2010,3660,3740,3600,3708,3708,14233319900,0,1
02/17/2010,3748,3803,3748,3788,3788,16202410500,0,1
02/18/2010,3759,3800,3740,3800,3800,19690260300,0,1
02/19/2010,3770,3780,3740,3740,3740,11441166000,0,1
02/22/2010,3731,3735,3662,3662,3662,13115203400,0,1
02/23/2010,3637,3650,3560,3601,3601,11998530700,0,1
02/24/2010,3600,3615,3551,3561,3561,14115580100,0,1
02/25/2010,3500,3623,3485,3560,3560,13216563700,0,1
02/26/2010,3570,3650,3534,3650,3650,24319592400,0,1
03/01/2010,3675,3689,3646,3656,3656,14016241900,0,1
03/02/2010,3689,3725,3682,3715,3715,15952693500,0,1
03/03/2010,3732,3787,3697,3715,3715,24966883100,0,1
03/04/2010,3740,3756,3680,3710,3710,10265564600,0,1
03/05/2010,3760,3765,3722,3730,3730,15891958000,0,1
03/08/2010,3717,3763,3710,3728,3728,11943638600,0,1
03/09/2010,3709,3824,3704,3774,3774,21794551900,0,1
03/10/2010,3800,3852,3772,3790,3790,19798173900,0,1
03/11/2010,3764,3805,3741,3800,3800,10848251300,0,1
03/12/2010,3838,3838,3733,3739,3739,11272443800,0,1
